"No.","Time","Source","Destination","Protocol","Length","Info"
"346","19:27:21.656456","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"366","19:27:21.984731","10.107.135.158","180.250.13.34","DNS","91","Standard query 0x05b0 A steamusercontent-a.akamaihd.net"
"367","19:27:21.995620","180.250.13.34","10.107.135.158","DNS","210","Standard query response 0x05b0 A steamusercontent-a.akamaihd.net CNAME steamusercontent-a.akamaihd.net.edgesuite.net CNAME a323.dscb.akamai.net A 118.97.158.186 A 36.91.231.56"
"371","19:27:22.013832","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"440","19:27:22.717374","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"457","19:27:22.937957","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"612","19:27:28.908989","10.107.135.158","180.250.13.34","DNS","83","Standard query 0xf911 A www.msftconnecttest.com"
"613","19:27:28.912964","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0xf911 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"1239","19:27:54.557605","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"1255","19:27:54.882513","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"1275","19:27:55.024977","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"1291","19:27:55.484191","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"1311","19:27:56.563015","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"1318","19:27:56.889194","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"1336","19:27:57.810887","118.98.44.50","10.107.135.158","DNS","419","Standard query response 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.com NS ns1.amzndns.com NS ns1.amzndns.co.uk NS ns2.amzndns.org NS ns1.amzndns.net NS ns2.amzndns.co.uk NS ns1.amzndns.org NS ns2.amzndns.net"
"1348","19:27:57.928051","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"2201","19:28:28.956409","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x09c7 A www.msftconnecttest.com"
