,Time,Destination,Info
0,19:27:21.656456,180.250.13.34,mongodb.net
1,19:27:21.984731,180.250.13.34,akamaihd.net
3,19:27:22.013832,118.98.44.50,mongodb.net
6,19:27:28.908989,180.250.13.34,msftconnecttest.com
8,19:27:54.557605,180.250.13.34,mongodb.net
9,19:27:54.882513,118.98.44.50,mongodb.net
12,19:27:56.563015,180.250.13.34,mongodb.net
13,19:27:56.889194,118.98.44.50,mongodb.net
16,19:28:28.956409,180.250.13.34,msftconnecttest.com
18,19:28:30.850080,118.98.44.50,google.com
19,19:28:30.850634,118.98.44.50,google.com
22,19:28:32.472816,180.250.13.34,mongodb.net
23,19:28:32.795329,118.98.44.50,mongodb.net
26,19:28:58.327110,118.98.44.50,gstatic.com
27,19:28:58.327407,118.98.44.50,gstatic.com
30,19:28:58.993307,180.250.13.34,msftconnecttest.com
32,19:29:01.599970,180.250.13.34,mongodb.net
34,19:29:08.300221,180.250.13.34,mongodb.net
35,19:29:08.626404,118.98.44.50,mongodb.net
37,19:29:33.632639,180.250.13.34,mongodb.net
38,19:29:33.957336,118.98.44.50,mongodb.net
41,19:30:00.119114,180.250.13.34,msftconnecttest.com
43,19:30:04.491043,180.250.13.34,mongodb.net
44,19:30:04.815171,118.98.44.50,mongodb.net
47,19:30:08.354072,180.250.13.34,mongodb.net
49,19:30:25.929791,118.98.44.50,msftconnecttest.com
51,19:30:27.370697,180.250.13.34,mongodb.net
53,19:30:28.481122,180.250.13.34,mongodb.net
55,19:30:29.479332,118.98.44.50,google.com
57,19:30:29.972238,118.98.44.50,google.com
58,19:30:30.040313,180.250.13.34,mongodb.net
61,19:30:38.851299,118.98.44.50,zopim.com
62,19:30:38.851726,118.98.44.50,zopim.com
65,19:31:05.063941,118.98.44.50,google.com
66,19:31:05.064322,118.98.44.50,google.com
69,19:31:10.299919,118.98.44.50,google.com
70,19:31:10.300280,118.98.44.50,google.com
71,19:31:11.002532,118.98.44.50,google.com
72,19:31:11.003572,180.250.13.34,google.com
75,19:31:12.789213,180.250.13.34,googleapis.com
76,19:31:12.789562,180.250.13.34,googleapis.com
79,19:31:14.419752,180.250.13.34,googleapis.com
80,19:31:14.420057,180.250.13.34,googleapis.com
83,19:31:15.716128,180.250.13.34,google.com
84,19:31:15.717846,180.250.13.34,google.com
87,19:31:16.212099,180.250.13.34,google.com
88,19:31:16.212403,180.250.13.34,google.com
91,19:31:16.811373,180.250.13.34,google.com
92,19:31:16.812463,180.250.13.34,google.com
95,19:31:18.230752,180.250.13.34,google.com
96,19:31:18.231180,180.250.13.34,google.com
99,19:31:18.250328,180.250.13.34,tableau.com
100,19:31:18.250640,180.250.13.34,tableau.com
103,19:31:18.896271,180.250.13.34,intellimize.co
104,19:31:18.896794,180.250.13.34,intellimize.co
105,19:31:18.946823,180.250.13.34,fonts.net
106,19:31:18.947279,180.250.13.34,fonts.net
111,19:31:20.949061,180.250.13.34,intellimizeio.com
112,19:31:20.949430,180.250.13.34,intellimizeio.com
113,19:31:21.032545,180.250.13.34,intellimize.co
114,19:31:21.032929,180.250.13.34,intellimize.co
117,19:31:21.424751,180.250.13.34,akamaihd.net
121,19:31:21.603243,180.250.13.34,tableau.com
122,19:31:21.603603,180.250.13.34,tableau.com
123,19:31:21.604584,180.250.13.34,en25.com
124,19:31:21.604826,180.250.13.34,en25.com
127,19:31:21.877645,180.250.13.34,google.com
128,19:31:21.877988,180.250.13.34,google.com
131,19:31:21.911736,180.250.13.34,doubleclick.net
132,19:31:21.912646,180.250.13.34,doubleclick.net
133,19:31:21.918565,180.250.13.34,crazyegg.com
134,19:31:21.918854,180.250.13.34,crazyegg.com
139,19:31:21.956076,180.250.13.34,googleadservices.com
140,19:31:21.956436,180.250.13.34,googleadservices.com
141,19:31:21.964588,180.250.13.34,doubleclick.net
142,19:31:21.964981,180.250.13.34,doubleclick.net
143,19:31:21.966843,180.250.13.34,quora.com
144,19:31:21.967221,180.250.13.34,quora.com
151,19:31:22.023707,180.250.13.34,tableau.com
152,19:31:22.024108,180.250.13.34,tableau.com
155,19:31:22.497566,180.250.13.34,cheqzone.com
156,19:31:22.498304,180.250.13.34,cheqzone.com
158,19:31:22.503757,180.250.13.34,linkedin.com
159,19:31:22.504026,180.250.13.34,linkedin.com
160,19:31:22.517617,180.250.13.34,doubleclick.net
161,19:31:22.517921,180.250.13.34,doubleclick.net
163,19:31:22.526241,180.250.13.34,google-analytics.com
164,19:31:22.526607,180.250.13.34,google-analytics.com
171,19:31:22.585946,180.250.13.34,lytics.io
172,19:31:22.586236,180.250.13.34,lytics.io
174,19:31:22.679541,180.250.13.34,siteimproveanalytics.io
175,19:31:22.679902,180.250.13.34,siteimproveanalytics.io
176,19:31:22.737688,180.250.13.34,google.com
177,19:31:22.738061,180.250.13.34,google.com
178,19:31:22.738555,180.250.13.34,google.co.id
179,19:31:22.738860,180.250.13.34,google.co.id
189,19:31:23.950312,180.250.13.34,google.com
190,19:31:23.952156,180.250.13.34,google.com
193,19:31:24.664237,180.250.13.34,doubleclick.net
194,19:31:24.664659,180.250.13.34,doubleclick.net
195,19:31:24.789331,180.250.13.34,nr-data.net
196,19:31:24.789635,180.250.13.34,nr-data.net
201,19:31:25.769071,180.250.13.34,google.com
202,19:31:25.769312,180.250.13.34,google.com
205,19:31:26.544355,180.250.13.34,msftconnecttest.com
207,19:31:29.740032,180.250.13.34,mongodb.net
208,19:31:29.896202,180.250.13.34,mongodb.net
209,19:31:30.747732,118.98.44.50,mongodb.net
210,19:31:30.903546,118.98.44.50,mongodb.net
211,19:31:31.748241,118.98.44.50,mongodb.net
217,19:31:32.298746,180.250.13.34,tblsft.com
218,19:31:32.299071,180.250.13.34,tblsft.com
221,19:31:33.025820,180.250.13.34,googleapis.com
222,19:31:33.026127,180.250.13.34,googleapis.com
225,19:31:36.189303,180.250.13.34,mongodb.net
227,19:31:47.501893,118.98.44.50,google.com
